items,2017,2018,2019,2020,2021,2022F,2016
Balance_sheet,Đã kiểm toán,Đã kiểm toán,Đã kiểm toán,Đã kiểm toán,Đã kiểm toán,Dự báo,
Công ty Kiểm toán,Kiểm toán KPMG,,,Kiểm toán KPMG,Kiểm toán KPMG,,
Loại Ý kiến Kiểm toán,Chấp nhận toàn phần,,,Chấp nhận toàn phần,Chấp nhận toàn phần,,
"          Các khoản lãi, phí phải trả",8467.337,8717.54,10382.357,9797.834,9326.334,0,
          Thuế TNDN hoãn lại phải trả,20.052,19.295,22.023,0,0,0,
          Các khoản phải trả và công nợ khác,9163.29,12484.902,15593.373,24155.977,24283.6,0,
          Dự phòng rủi ro khác,0,0,0,0,0,0,
Vốn chủ sở hữu,52557.959,62179.379,80882.982,94094.979,109117.393,147432.28,
     Vốn của tổ chức tín dụng,36321.931,36322.343,42428.82,42428.821,42428.821,0,
          Vốn điều lệ,35977.686,35977.686,37088.774,37088.774,37088.774,37089,
          Vốn đầu tư XDCB,0,0,0,0,0,0,
          Thặng dư vốn cổ phần,0,0,4995.389,4995.389,4995.389,0,
          Cổ phiếu Quỹ,0,0,0,0,0,0,
          Cổ phiếu ưu đãi,0,0,0,0,0,0,
          Vốn khác,344.245,344.657,344.657,344.658,344.658,0,
Quỹ của tổ chức tín dụng,7253.682,9445.732,12186.141,14925.803,18173.068,0,
Chênh lệch tỷ giá hối đoái,94.485,84.45,16.361,5.103,-5.109,0,
Chênh lệch đánh giá lại tài sản,83.285,119.178,113.011,0,0,0,
Lợi nhuận chưa phân phối,8715.252,16138.687,26055.19,36650.228,48433.5,0,
Lợi ích của cổ đông thiểu số,89.324,68.989,83.459,85.024,87.113,0,
Lợi ích của cổ đông thiểu số (trước 2015),0,0,0,0,0,0,
,0,0,0,0,0,0,
CHỈ TIÊU NGOẠI BẢNG,0,0,0,0,0,0,
Nợ tiềm tàng,97457.794,112230.256,53569.137,51546.623,2447.477,0,
Thư tín dụng,45239.213,57703.713,0,0,0,0,
     Thư tín dụng trả ngay,0,0,0,0,0,0,
